Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7
0,0,1,0,Europe,1,0,0,0,0,0,0
0,0,0,1,N America,1,0,0,0,0,0,0
0,0,0,1,Asia,1,0,0,1,0,0,0
1,0,0,0,Asia,1,1,0,0,0,0,0
0,0,1,1,N America,0,0,1,0,1,0,0
0,0,0,1,N America,1,0,0,0,0,0,0
0,0,0,1,N America,1,0,0,0,0,0,0
0,0,0,0,NA,1,1,0,0,0,0,0
0,0,1,0,Oceania,0,0,0,0,1,0,0
0,0,0,0,Europe,1,0,0,0,1,0,0
0,0,0,0,Europe,1,1,1,1,0,0,0
0,0,0,1,Europe,1,1,1,0,1,0,0
0,0,0,1,Asia,0,0,1,0,0,0,0
0,1,1,0,N America,1,0,1,0,1,0,0
0,0,0,0,N America,1,0,1,0,0,1,0
0,0,0,0,Europe,1,1,1,1,0,0,0
0,0,0,0,N America,0,1,0,1,0,0,0
0,0,0,1,N America,1,1,0,0,1,0,0
0,0,0,0,Europe,1,0,0,0,0,0,0
0,0,1,0,Europe,1,0,0,1,0,0,0
0,0,0,0,Europe,0,0,0,1,0,0,0
1,1,0,0,N America,1,0,1,0,0,0,0
0,0,1,0,Europe,1,1,0,0,0,0,0
0,0,0,0,N America,1,0,0,0,0,0,0
1,0,1,0,Europe,1,0,1,0,0,0,0
0,1,0,1,Europe,0,0,1,0,0,0,0
0,0,0,1,Europe,1,0,1,0,0,0,0
0,1,0,0,N America,0,0,0,0,1,0,0
0,0,0,1,Europe,1,0,1,0,0,0,0
1,0,0,1,Asia,1,0,0,0,1,0,0
0,0,0,1,N America,1,0,0,1,1,1,0
0,0,1,1,S America,0,0,0,0,0,0,0
1,0,1,1,Europe,1,0,0,0,0,0,0
0,0,1,0,Europe,0,0,0,0,0,0,0
1,0,0,0,Europe,1,1,1,0,0,0,0
0,0,0,1,Europe,1,0,0,0,0,0,1
0,1,0,0,Europe,0,1,1,1,0,0,1
0,0,0,0,Europe,1,0,0,0,0,0,0
0,0,1,1,Asia,0,0,1,0,0,0,0
1,0,0,1,Europe,1,0,1,0,0,0,0
0,0,0,1,Europe,1,0,1,0,0,0,0
0,1,0,1,Europe,1,0,0,0,0,0,0
0,0,0,1,Oceania,0,0,0,0,1,0,0
0,0,0,1,N America,1,0,0,0,1,0,0
0,0,1,1,N America,0,0,1,0,1,0,1
0,1,0,0,Europe,0,0,0,1,1,0,0
0,0,1,1,N America,1,0,0,0,1,0,0
0,1,0,0,Europe,1,0,0,0,0,0,0
0,0,0,1,Asia,0,0,0,0,1,0,0
0,0,0,0,N America,1,1,0,0,0,0,0
0,0,1,0,Europe,0,0,1,0,0,0,0
0,0,1,0,Europe,1,0,0,1,0,0,1
0,0,0,0,Europe,0,0,1,0,0,0,0
0,0,0,1,N America,1,0,0,0,0,0,0
0,0,0,0,Europe,1,1,1,0,0,0,0
0,0,0,1,Europe,1,0,0,0,0,0,0
0,0,0,0,Asia,1,1,0,0,1,0,0
0,0,0,1,Europe,1,0,0,0,0,0,0
1,0,0,0,N America,1,0,1,0,0,0,0
0,0,0,1,Europe,1,0,1,1,1,0,0
0,0,0,0,Europe,1,0,1,0,0,0,0
0,0,1,1,N America,1,1,1,1,0,0,0
1,0,1,0,Europe,1,1,0,0,0,0,0
1,0,1,0,S America,1,0,0,0,0,1,0
0,0,0,0,Europe,0,0,0,0,0,0,0
0,0,1,0,N America,1,0,0,0,0,0,0
0,0,0,0,Europe,1,0,0,1,1,0,0
0,0,0,1,Europe,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,1,0,1,0,0,0,0
