Q1_1,Q1_2,Q1_3,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q6_1,Q6_2,Q6_3,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q9_1,Q9b_1,Q10_1,Q10b_1,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11b_1,Q12,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q14,Q15,Q15b,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_9_TEXT
3,2,3,Unsure,Unsure,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,40,25,55,19,7,1,5,4,2,3,6,8,50,Yes,7,1,3,2,5,4,6,8,Unsure,No,NA,4,5,7,6,8,3,1,2,9,NA
5,4,3,Yes,No,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,30,32,76,78,NA,5,1,1,1,NA,1,8,55,Yes,7,5,4,2,6,2,4,8,Yes,No,NA,3,5,4,4,NA,6,1,6,9,NA
5,3,1,No,No,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,77,98,34,80,7,4,6,2,4,7,1,1,50,Yes,7,1,5,4,5,6,6,8,Unsure,No,NA,NA,1,8,1,5,8,4,4,9,NA
5,5,3,Unsure,No,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,61,75,69,90,7,5,6,2,1,4,4,8,51,Unsure,7,1,8,2,3,4,3,8,Unsure,No,NA,NA,2,5,4,1,1,5,3,9,NA
4,5,4,Yes,Unsure,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,76,87,66,33,7,6,5,2,4,3,1,2,57,Yes,1,2,4,1,3,4,6,8,Unsure,No,NA,3,3,2,1,5,4,5,5,9,NA
4,5,4,No,Unsure,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,50,59,75,NA,NA,4,5,1,1,3,7,8,30,Yes,7,6,1,2,5,4,2,7,No,No,https://doi.org/10.1111/gcb.12191,2,7,7,1,2,3,NA,6,9,NA
4,5,2,Yes,Unsure,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,77,NA,67,94,7,5,4,2,1,6,4,8,78,Unsure,7,3,6,5,3,4,7,8,Yes,Yes,NA,1,6,4,6,5,6,7,6,9,NA
5,3,3,Yes,Unsure,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,78,85,67,50,7,4,6,4,3,2,5,8,75,Yes,7,1,2,1,1,5,6,2,Unsure,No,NA,1,5,4,6,1,8,NA,NA,9,NA
4,5,3,No,Unsure,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,43,57,50,30,7,4,4,3,2,2,NA,8,70,Yes,7,3,6,2,4,7,6,8,No,No,NA,5,3,6,5,2,4,2,8,9,NA
5,4,5,No,No,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,65,50,33,84,6,4,4,1,6,2,2,8,50,Unsure,8,1,5,5,6,5,4,1,Unsure,No,NA,7,2,5,6,5,8,6,NA,9,NA
5,5,4,Yes,No,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,30,95,42,85,7,6,3,3,4,2,NA,8,100,Yes,8,5,1,3,1,7,6,8,No,No,https://doi.org/10.1111/2041-210X.14087,4,5,6,8,2,6,6,5,9,NA
2,4,5,Unsure,No,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,77,85,33,33,7,4,6,5,3,NA,1,8,69,Yes,7,5,3,5,6,6,6,8,Unsure,No,NA,4,2,6,1,4,1,5,8,9,NA
5,5,2,No,Unsure,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,24,60,68,15,7,5,4,3,3,4,4,7,48,Yes,2,1,2,5,3,6,4,8,Yes,No,NA,5,5,NA,8,8,3,5,8,9,NA
4,3,3,No,No,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,77,55,NA,75,7,NA,5,2,3,4,NA,7,50,Yes,7,4,1,4,4,2,7,8,Yes,No,NA,2,3,8,2,2,8,7,5,9,NA
4,4,3,Yes,No,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,43,12,68,75,7,4,3,3,2,4,3,8,65,Yes,7,1,5,2,NA,6,2,3,No,No,NA,NA,6,7,3,4,3,4,6,NA,NA
5,4,2,No,No,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,40,50,70,50,7,4,5,1,4,2,3,8,60,Yes,3,3,7,2,1,6,4,8,No,No,NA,4,1,8,3,8,8,NA,3,9,NA
3,4,5,No,No,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,65,45,67,80,7,7,5,4,7,2,8,8,57,Yes,8,4,5,4,4,2,7,7,No,No,NA,2,3,7,6,8,4,4,4,9,NA
4,5,5,Yes,No,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,70,86,67,54,7,6,2,1,3,6,2,8,60,Unsure,7,2,6,2,2,6,3,8,Unsure,No,NA,1,3,6,4,7,2,2,8,7,NA
5,3,2,No,Yes,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,49,80,67,40,7,5,5,NA,3,1,6,8,81,Yes,7,2,1,5,3,5,1,8,Yes,No,NA,5,7,6,3,8,1,5,7,9,NA
4,3,5,Yes,Unsure,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,37,40,NA,12,7,7,4,3,1,5,4,8,40,Yes,7,4,7,4,3,5,4,8,Yes,No,NA,NA,3,4,NA,3,8,1,6,9,NA
4,5,3,No,Unsure,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,61,76,20,5,7,3,4,6,6,6,2,8,75,Yes,8,3,2,6,2,5,5,8,Yes,No,NA,1,6,8,5,6,4,1,4,9,NA
5,4,3,No,Yes,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,77,74,67,NA,5,5,5,3,NA,3,4,NA,NA,Yes,7,6,1,5,3,1,1,7,Unsure,No,NA,5,5,NA,7,1,NA,7,7,9,NA
4,3,5,Yes,Unsure,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,75,80,62,62,8,6,5,NA,3,6,2,8,70,Yes,7,2,5,NA,5,5,6,8,Yes,No,NA,7,2,6,4,NA,4,8,4,9,NA
3,4,5,No,Unsure,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,65,50,57,80,7,6,2,1,1,2,6,8,30,Yes,7,4,1,2,6,5,6,8,No,No,NA,1,1,5,3,6,2,6,6,9,NA
