Q2b,Q3b,Q4_6_TEXT,Q5_14_TEXT,Q6_4_TEXT,Q6b,Q7_22_TEXT,Q9c,Q10c,Q11_16_TEXT,Q11c,Q13_16_TEXT,Q14b,Q16_9_TEXT
Please provide any comments related to how you think the concept should be clarified.,Please give what you believe to be the widely accepted definition.,Which of these options (if any) captures what you consider response diversity to be in an ecological context? Choose all that apply. - Other (please describe) - Text,Which of these options (if any) best captures the reasons behind your interest in studying response diversity? Choose all that apply. - Other (please describe) - Text,Which of these options (if any) best describes how you see response diversity relating to conservation and/or ecosystem management? Choose all that apply. - Other (please describe) - Text,Why? Please briefly explain what you chose this answer(s) regarding how response diversity relates to conservation and/or ecosystem management?,Response diversity has been proposed as a possible driver of ecological stability. Which of the following aspect(s) of stability (if any) do you think response diversity may mechanistically drive? - Other (please describe) - Text,"Briefly, why do you consider response diversity to be most relevant at the temporal scale you chose above?","Briefly, why do you consider response diversity to be most relevant at the spatial scale you chose above?","Considering the same example as above, at what biological scale(s) might you consider response diversity to be most relevant to measure, monitor, or manage for persistence or stability in this way? Please rank all options that you consider relevant, with 1 indicating the most relevant for measuring, monitoring, or managing for persistence or stability. The example is described again here for reference:


Briefly consider an ecological community composed of a number of plant species, each of which has a slightly different preferred environmental condition. Under natural conditions, the environment (temperature, nutrient availability, weather etc.) changes on predictable cycles such as the diurnal and annual seasonal cycles, and less predictably through stochastic environmental changes to environmental conditions (e.g. an a-typically prolonged drought) and via longer-term climate change. Researchers and ecosystem managers may be interested in ensuring the continued functioning of this community and its contributions to people. In this regard they may measure, monitor, or manage for the persistence of the community through time (do populations of species persist without going locally extinct?) as well as the stability (low variability) of the total community biomass or species composition through time. - Other (please describe) - Text","Briefly, why do you consider response diversity to be most relevant at the biological scale(s) you chose above?","What (if anything) do you see as the main challenge(s) facing studies of response diversity? Please rank all options that you consider to be challenges, with 1 indicating the largest challenge. - Other (please describe) - Text",Why? Please briefly explain.,"What (if anything) would you like to see as the outcome(s) of any global collaborative efforts on response diversity? Please rank all options, with 1 being your most preferred outcome of any future global collaborative efforts. - Other (please describe) - Text"
NA,NA,Other (please describe),Other (please describe),Other (please describe),NA,Other (please describe),NA,NA,Other (please describe),NA,Other (please describe),NA,Other (please describe)
NA,NA,0,0,0,I chose these options because they capture the importance of understanding the capacity of ecosystems to cope with environmental change in the present and in future conditions. ,0,"depends on the system, but annual measures (to pinpoint causes/ lag effects) over a decade or so seems to be the minimal (even in an annual/ biennial system)","The most relevant scale corresponds to what is defined as ""locally"" in the sentence ""do populations of species persist without going locally extinct?"". The question determines the scale.",NA,NA,NA,NA,NA
NA,NA,0,0,0,"Process of elimination. First two were too focused on active manipulation, while I am not convinced manipulating response diversity would be a good conservation/mitigation strategy over more traditional approaches.",0,"The generation time of the plants is not mentioned.  Assuming they are annual, the time scale I selected is the minimum to measure something meaningful twice.","Without knowing more about the study system, I would hypothesize that community function and contributions to people occur at this spatial scale or larger.",NA,"The ranking above generally prioritizes broader scales, because such scales are most relevant to the scale at which climate change mitigation will be most necessary and effective.",NA,NA,NA
NA,NA,0,0,0,"Actively manipulating communities, besides removing invasives, seems very dangerous -- could cause ecosystem collapse. However, landscapes can be managed to encourage more response diversity by supporting diverse communities (who can disperse there naturally).",0,"Response diversity is the most relevant on a yearly/decadal scales, because in my view, that scale is the most relevant to discussions surrounding future climate change and its potential impacts on natural systems. Evolutionary time scales are too long to capture the urgency required for climate change mitigation, and shorter time scales are too short to truly understand how broader climatic/environmental changes may impact natural systems' overall ability to function in the future.","Since we are considering a plant community, presumably with low dispersal ability, the connectivity between different patches may be limited. Thus, preserving the functioning of the community strongly depends on the local response diversity. The answer would have been different if we were considering another type of community (e.g. plant - herbivore system, or pray - predator).)",NA,"Really, I would expect each metric to relate to a different one of the goals specified: interspecific diversity to stability of community biomass, intraspecific diversity to stability of species biomass within a location, metapopulation diversity to species persistence, etc.  Therefore, the ranking is a bit arbitrary, and depends on the weight given to the different goals listed.",NA,"I think it would be better to not restrict researchers to a standardised approach, but instead allow a flouishing of potentially important measures and metrics and let the community decide which approaches fit particular problems the best. It is risky to standardise an approach when a field is nascent, as it may lead to missed oppourtunities to develop new approaches or criticism of approaches that are valid but do not conform to a strict standard. There may be situations where a given approach may be more appropriate, for example in communicating results to stakeholders.. ",NA
"I think the idea of response diversity is quite intuitive, what is less clear in my opinion is how we can quantify and use this metric to assess stability","In an ecological system, response diversity occurs when organisms respond differently to a given natural or anthropogenic pressure. When there is also functional redundancy in the community, the existence of response diversity among functionally redundant organisms will favor stability in how the system functions",0,0,0,Both as a buffer against change and as a measure of potential for rapid evolutionary responses,0,"The very ine scale variation may be just noise, but monitoring should capture something about the population dynamics of short-lived organisms, and biomass trends of the long-lived organisms",I think the key is to understand cross scale dynamics.,NA,"Biodiversity maintenance is reliant on hierarchical patterns and processes, as well as interspecies interactions",NA,NA,NA
NA,Variability in how different species or individuals respond to disturbance,0,0,None,Management and conservation need to be informed decisions based on a systems capacity to absorb and recover from environmental change. Assessing systems response diversity should allow to make accurate predictions about its stability under change.,0,"I just gave the answer to get the maximum (but also reasonable thinking existing data) timeseries so that I can test my hypothesis from seasonal to decadal scale, but it totally depends on the taxa or your study systems - for planktons maybe few years are enough, but for plants (especially if you think from the tree-ring growth structure) it would be longer.",Because some drivers of the response can interact with other drivers in multiple spatial scale.,NA,"...relatively large-spatial scales [are] the level I think about most. However, I see that genetic diversity within species, and intraspecific trait diversity in populations, leads to stability and resilience, but this is not what I focus on so I ranked them lower even though they are equally interesting and important.  ",NA,"up to certain point some standardization is required, but mostly in concepts. Methods should be adapted to specific Research questions",NA
NA,NA,0,0,0,NA,0,NA,to see variations in local populations growth rates,NA,"Depends on the goal - with the information provided, its a bit unclear. All of these scales could be relevant, but also not.",NA,"there should be a standardized definition and data requirements (i.e., measuring population responses, rather than traits), but the methodology to do that can be system specific",NA
"""Response to what?"" is the classic question I guess. Without any context, it remains unclear. Maybe add ""to environmental change"" would help",NA,0,0,0,NA,0,There is a need to measure across multiple years as stochasticity needs to be ruled put,"I wouldnt choose a single point on this scale if there was an option - I would say there is relevance of response diversity in this context from local to regional scales as although plants are sendetary, I would expect seed dispersal across connected local habitat patches to play an important part in response diversity of a community",NA,i think of response diversity as specific phenonema occuring among species within functional groups ,Long time series required to measure multiple aspects of system resiliency as it might depend on response diversity,NA,NA
must be understood as an emergent feature of a complex system.,NA,0,0,0,NA,0,"Most useful in response to acute disturbance e.g. the drought in the example, rather than the longer term climate change scale where other drivers may be more important. One fine and daily scales the diurnal and seasonal changes are less relevant as these changes integrate over the day/season.","at local scales the environmental conditions will be very similar at all times, but at the met-communit y scale you can have both intraspecific asynchrony and egional differences in environment",NA,NA,NA,Often studies measuring what they consider response diversity not covering the whole stressor gradient or random artificial communities.,NA
